date,area_name,new_cases,total_cases
7/14/2020,London,62,34436
7/14/2020,Rest of England,573,209389
7/15/2020,London,76,34512
7/15/2020,Rest of England,636,210025
7/16/2020,London,70,34582
7/16/2020,Rest of England,559,210584
7/17/2020,London,48,34630
7/17/2020,Rest of England,488,211072
7/18/2020,London,48,34678
7/18/2020,Rest of England,416,211488
7/19/2020,London,41,34719
7/19/2020,Rest of England,366,211854
7/20/2020,London,97,34816
7/20/2020,Rest of England,647,212501
7/21/2020,London,82,34898
7/21/2020,Rest of England,594,213095
7/22/2020,London,81,34979
7/22/2020,Rest of England,653,213748
7/23/2020,London,71,35050
7/23/2020,Rest of England,646,214394
7/24/2020,London,82,35132
7/24/2020,Rest of England,611,215005
7/25/2020,London,54,35186
7/25/2020,Rest of England,433,215438
7/26/2020,London,65,35251
7/26/2020,Rest of England,444,215882
7/27/2020,London,100,35351
7/27/2020,Rest of England,700,216582
7/28/2020,London,98,35449
7/28/2020,Rest of England,673,217255
7/29/2020,London,98,35547
7/29/2020,Rest of England,868,218123
7/30/2020,London,101,35648
7/30/2020,Rest of England,745,218868
7/31/2020,London,73,35721
7/31/2020,Rest of England,544,219412
8/1/2020,London,58,35779
8/1/2020,Rest of England,431,219843
8/2/2020,London,73,35852
8/2/2020,Rest of England,429,220272
8/3/2020,London,87,35939
8/3/2020,Rest of England,844,221116
8/4/2020,London,103,36042
8/4/2020,Rest of England,806,221922
8/5/2020,London,115,36157
8/5/2020,Rest of England,810,222732
8/6/2020,London,105,36262
8/6/2020,Rest of England,851,223583
8/7/2020,London,119,36381
8/7/2020,Rest of England,732,224315
8/8/2020,London,55,36436
8/8/2020,Rest of England,581,224896
8/9/2020,London,67,36503
8/9/2020,Rest of England,484,225380
8/10/2020,London,142,36645
8/10/2020,Rest of England,1190,226570
8/11/2020,London,149,36794
8/11/2020,Rest of England,1043,227613
8/12/2020,London,150,36944
8/12/2020,Rest of England,926,228539
8/13/2020,London,124,37068
8/13/2020,Rest of England,884,229423
8/14/2020,London,127,37195
8/14/2020,Rest of England,907,230330
8/15/2020,London,105,37300
8/15/2020,Rest of England,534,230864
8/16/2020,London,87,37387
8/16/2020,Rest of England,436,231300
8/17/2020,London,190,37577
8/17/2020,Rest of England,934,232234
8/18/2020,London,181,37758
8/18/2020,Rest of England,728,232962
8/19/2020,London,152,37910
8/19/2020,Rest of England,907,233869
8/20/2020,London,203,38113
8/20/2020,Rest of England,990,234859
8/21/2020,London,166,38279
8/21/2020,Rest of England,819,235678
8/22/2020,London,117,38396
8/22/2020,Rest of England,587,236265
8/23/2020,London,143,38539
8/23/2020,Rest of England,528,236793
8/24/2020,London,195,38734
8/24/2020,Rest of England,856,237649
8/25/2020,London,168,38902
8/25/2020,Rest of England,847,238496
8/26/2020,London,165,39067
8/26/2020,Rest of England,948,239444
8/27/2020,London,228,39295
8/27/2020,Rest of England,1068,240512
8/28/2020,London,214,39509
8/28/2020,Rest of England,1095,241607
8/29/2020,London,130,39639
8/29/2020,Rest of England,864,242471
8/30/2020,London,128,39767
8/30/2020,Rest of England,803,243274
8/31/2020,London,155,39922
8/31/2020,Rest of England,895,244169
9/1/2020,London,214,40136
9/1/2020,Rest of England,1113,245282
9/2/2020,London,173,40309
9/2/2020,Rest of England,602,245884
9/3/2020,London,0,40309
9/3/2020,Rest of England,9,245893
9/4/2020,London,0,40309
9/4/2020,Rest of England,0,245893
