Date,Avg_DP,date,total_cases,New_Cases
5/29/2020,43.9,5/31/2020,32361,38
5/30/2020,44.7,6/1/2020,32410,49
5/31/2020,44.4,6/2/2020,32459,49
6/1/2020,47.1,6/3/2020,32538,79
6/2/2020,45.2,6/4/2020,32595,57
6/3/2020,50.5,6/5/2020,32642,47
6/4/2020,43.9,6/6/2020,32688,46
6/5/2020,41,6/7/2020,32733,45
6/6/2020,41.6,6/8/2020,32789,56
6/7/2020,47.2,6/9/2020,32860,71
6/8/2020,44,6/10/2020,32913,53
6/9/2020,41.9,6/11/2020,32960,47
6/10/2020,49.7,6/12/2020,33014,54
6/11/2020,52.5,6/13/2020,33053,39
6/12/2020,55.7,6/14/2020,33084,31
6/13/2020,52.6,6/15/2020,33125,41
6/14/2020,52.9,6/16/2020,33172,47
6/15/2020,52.1,6/17/2020,33215,43
6/16/2020,53.5,6/18/2020,33261,46
6/17/2020,54.3,6/19/2020,33298,37
6/18/2020,55.4,6/20/2020,33326,28
6/19/2020,52.3,6/21/2020,33353,27
6/20/2020,51.5,6/22/2020,33404,51
6/21/2020,51.2,6/23/2020,33453,49
6/22/2020,48.1,6/24/2020,33499,46
6/23/2020,52.7,6/25/2020,33556,57
6/24/2020,55.9,6/26/2020,33604,48
6/25/2020,56.8,6/27/2020,33636,32
6/26/2020,59,6/28/2020,33658,22
6/27/2020,55,6/29/2020,33716,58
6/28/2020,48.4,6/30/2020,33768,52
6/29/2020,45,7/1/2020,33810,42
6/30/2020,53.2,7/2/2020,33848,38
7/1/2020,54.4,7/3/2020,33886,38
7/2/2020,53.8,7/4/2020,33918,32
7/3/2020,51.8,7/5/2020,33969,51
7/4/2020,58.4,7/6/2020,34022,53
7/5/2020,49.6,7/7/2020,34081,59
7/6/2020,45,7/8/2020,34138,57
7/7/2020,46.9,7/9/2020,34192,54
7/8/2020,59.5,7/10/2020,34232,40
7/9/2020,59.4,7/11/2020,34251,19
7/10/2020,48.7,7/12/2020,34289,38
7/11/2020,45,7/13/2020,34374,85
7/12/2020,45.8,7/14/2020,34436,62
7/13/2020,46.8,7/15/2020,34512,76
7/14/2020,53.4,7/16/2020,34582,70
7/15/2020,50.6,7/17/2020,34630,48
7/16/2020,55,7/18/2020,34678,48
7/17/2020,55.3,7/19/2020,34719,41
7/18/2020,53.5,7/20/2020,34816,97
7/19/2020,53.3,7/21/2020,34898,82
7/20/2020,45.5,7/22/2020,34979,81
7/21/2020,43.8,7/23/2020,35050,71
7/22/2020,46.8,7/24/2020,35132,82
7/23/2020,49.1,7/25/2020,35186,54
7/24/2020,56.1,7/26/2020,35251,65
7/25/2020,59.7,7/27/2020,35351,100
7/26/2020,54.4,7/28/2020,35449,98
7/27/2020,58.1,7/29/2020,35547,98
7/28/2020,47.4,7/30/2020,35648,101
7/29/2020,46.4,7/31/2020,35721,73
7/30/2020,47.3,8/1/2020,35779,58
7/31/2020,56.6,8/2/2020,35852,73
8/1/2020,55.6,8/3/2020,35939,87
8/2/2020,49.6,8/4/2020,36042,103
8/3/2020,47.9,8/5/2020,36157,115
8/4/2020,49.4,8/6/2020,36262,105
8/5/2020,51.3,8/7/2020,36381,119
8/6/2020,61.3,8/8/2020,36436,55
8/7/2020,55.7,8/9/2020,36503,67
8/8/2020,60.1,8/10/2020,36645,142
8/9/2020,61.7,8/11/2020,36794,149
8/10/2020,63.3,8/12/2020,36944,150
8/11/2020,63.9,8/13/2020,37068,124
8/12/2020,64.7,8/14/2020,37195,127
8/13/2020,63.8,8/15/2020,37300,105
8/14/2020,62.6,8/16/2020,37387,87
8/15/2020,64.5,8/17/2020,37577,190
8/16/2020,63.9,8/18/2020,37758,181
8/17/2020,59.1,8/19/2020,37910,152
8/18/2020,58,8/20/2020,38113,203
8/19/2020,63,8/21/2020,38279,166
8/20/2020,56,8/22/2020,38396,117
8/21/2020,56.1,8/23/2020,38539,143
8/22/2020,53.4,8/24/2020,38734,195
8/23/2020,52.9,8/25/2020,38902,168
8/24/2020,54.7,8/26/2020,39067,165
8/25/2020,57.7,8/27/2020,39295,228
8/26/2020,51.5,8/28/2020,39509,214
8/27/2020,53.9,8/29/2020,39639,130
8/28/2020,53.5,8/30/2020,39767,128
8/29/2020,49.9,8/31/2020,39922,155
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
