Date,Case-Total,Date-1,Avg_DP
5/10/2020,458,5/8/2020,33.9
5/11/2020,1233,5/9/2020,24.1
5/12/2020,1285,5/10/2020,22.7
5/13/2020,1336,5/11/2020,38.4
5/14/2020,1112,5/12/2020,24.3
5/15/2020,875,5/13/2020,27.5
5/16/2020,488,5/14/2020,36.8
5/17/2020,359,5/15/2020,55.1
5/18/2020,900,5/16/2020,50.7
5/19/2020,1004,5/17/2020,43.4
5/20/2020,1082,5/18/2020,46.5
5/21/2020,1072,5/19/2020,36.3
5/22/2020,1061,5/20/2020,34.2
5/23/2020,465,5/21/2020,43.1
5/24/2020,479,5/22/2020,56.4
5/25/2020,469,5/23/2020,58
5/26/2020,1055,5/24/2020,46.5
5/27/2020,745,5/25/2020,53.9
5/28/2020,646,5/26/2020,56.8
5/29/2020,647,5/27/2020,59
5/30/2020,348,5/28/2020,63.2
5/31/2020,231,5/29/2020,64.2
6/1/2020,688,5/30/2020,53.7
6/2/2020,574,5/31/2020,36.9
6/3/2020,514,6/1/2020,35.2
6/4/2020,510,6/2/2020,40.7
6/5/2020,404,6/3/2020,59.8
6/6/2020,247,6/4/2020,59.8
6/7/2020,199,6/5/2020,66.3
6/8/2020,444,6/6/2020,61.9
6/9/2020,421,6/7/2020,45.3
6/10/2020,365,6/8/2020,44.9
6/11/2020,368,6/9/2020,52.1
6/12/2020,410,6/10/2020,62
6/13/2020,196,6/11/2020,65.9
6/14/2020,183,6/12/2020,52.3
6/15/2020,379,6/13/2020,42.5
6/16/2020,423,6/14/2020,42.1
6/17/2020,356,6/15/2020,48.7
6/18/2020,380,6/16/2020,49.2
6/19/2020,361,6/17/2020,57.3
6/20/2020,206,6/18/2020,63
6/21/2020,176,6/19/2020,62.7
6/22/2020,397,6/20/2020,63.4
6/23/2020,383,6/21/2020,63.4
6/24/2020,382,6/22/2020,63.8
6/25/2020,297,6/23/2020,65.7
6/26/2020,311,6/24/2020,58.2
6/27/2020,208,6/25/2020,52.5
6/28/2020,202,6/26/2020,53.8
6/29/2020,437,6/27/2020,62.2
6/30/2020,447,6/28/2020,66.5
7/1/2020,398,6/29/2020,63
7/2/2020,417,6/30/2020,61.8
7/3/2020,230,7/1/2020,62.9
7/4/2020,119,7/2/2020,61.1
7/5/2020,155,7/3/2020,66.7
7/6/2020,435,7/4/2020,63.9
7/7/2020,463,7/5/2020,64
7/8/2020,435,7/6/2020,63.4
7/9/2020,395,7/7/2020,67.5
7/10/2020,309,7/8/2020,69.6
7/11/2020,256,7/9/2020,68
7/12/2020,223,7/10/2020,71.3
7/13/2020,481,7/11/2020,70.8
7/14/2020,400,7/12/2020,61.3
7/15/2020,439,7/13/2020,60.7
7/16/2020,420,7/14/2020,59.2
7/17/2020,415,7/15/2020,63.5
7/18/2020,217,7/16/2020,59.1
7/19/2020,175,7/17/2020,67.1
7/20/2020,396,7/18/2020,64.5
7/21/2020,337,7/19/2020,67.4
7/22/2020,326,7/20/2020,67.8
7/23/2020,306,7/21/2020,62.4
7/24/2020,303,7/22/2020,70.7
7/25/2020,152,7/23/2020,69.9
7/26/2020,139,7/24/2020,68.8
7/27/2020,318,7/25/2020,68.2
7/28/2020,312,7/26/2020,63.5
7/29/2020,287,7/27/2020,62.4
7/30/2020,267,7/28/2020,67.2
7/31/2020,262,7/29/2020,67.4
8/1/2020,184,7/30/2020,61.6
8/2/2020,136,7/31/2020,66.8
8/3/2020,353,8/1/2020,64.9
8/4/2020,192,8/2/2020,72.6
8/5/2020,311,8/3/2020,65
8/6/2020,287,8/4/2020,69.3
8/7/2020,264,8/5/2020,62.2
8/8/2020,158,8/6/2020,60.3
8/9/2020,133,8/7/2020,64.9
8/10/2020,299,8/8/2020,66.8
8/11/2020,258,8/9/2020,68
8/12/2020,319,8/10/2020,69.5
8/13/2020,260,8/11/2020,71.6
8/14/2020,271,8/12/2020,72.5
8/15/2020,150,8/13/2020,69.1
8/16/2020,138,8/14/2020,66.3
8/17/2020,329,8/15/2020,59.7
8/18/2020,279,8/16/2020,62.6
8/19/2020,279,8/17/2020,61.6
8/20/2020,219,8/18/2020,59.9
8/21/2020,243,8/19/2020,61.9
8/22/2020,139,8/20/2020,53.3
8/23/2020,148,8/21/2020,62.1
8/24/2020,297,8/22/2020,65.7
8/25/2020,278,8/23/2020,68
8/26/2020,304,8/24/2020,67.1
8/27/2020,254,8/25/2020,63.9
8/28/2020,262,8/26/2020,51.8
8/29/2020,114,8/27/2020,63.3
8/30/2020,166,8/28/2020,64.8
8/31/2020,266,8/29/2020,69.5
,,,
,,,
,,,
,,,
